,,,,,,,24.48%,,,,,,,,,,,,,,11.45%,,70.05%,,,,,,
,Level Name,,GDDL Tier,,Level ID,,Rated,,Verify Date,,Difficulty,,,Placement,,Primary Source,,Points,,Main Skillset,,,Verification Link,,Placement on Verification,,,Year Verified,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blue Slaughterhouse (The_Bat0),,Tier 36,,88104589,,Unrated,,2025-04-04,,Extreme Demon,,,61,,THAL,,"20,000.00",,,Wave,,[VERIFIED] BLUE SLAUGHTERHOUSE,1,31,,,2025,1
,Blue Slaughterhouse (Viwi),,Tier 36,,92905701,,Unrated,,2025-04-08,,Extreme Demon,,,62,,THAL,,"20,000.00",,,Wave,,Blue Slaughterhouse 100% - YouTube,1,32,,,2025,1
,Yellow Slaughterhouse,,Tier 36,,84550931,,Unrated,,2025-05-11,,Extreme Demon,,,63,,THAL,,"20,000.00",,,Wave,,Yellow Slaughterhouse 100%,1,36,,,2025,1
,Pink Slaughterhouse,,Tier 36,,81376890,,Unrated,,2025-03-20,,Extreme Demon,,,64,,THAL,,"20,000.00",,,Wave,,Pink Slaughterhouse 100%,1,29,,,2025,1
,Goldenhouse,,Tier 36,,129175939,,Unrated,,2025-12-06,,Extreme Demon,,,65,,EDI,,"20,000.00",,,Wave,,GOLDENHOUSE 100% // REBEAT,1,51,,,2025,1
,Slaughterhouse,,Tier 36,,27690100,,Rated,,2021-12-21,,Extreme Demon,,,66,,Global,,"20,000.00",,,Wave,,(VERIFIED) SLAUGHTERHOUSE by Icedcave and more // FORMER TOP 1 - YouTube,1,1,,,2021,1
,Acheron (KweenTee),,Tier 36,,122490465,,Unrated,,2025-07-08,,Extreme Demon,,,67,,THAL,,"19,750.00",,,Wave,,(NOT Wolvez Version) Nerfed Acheron 100% - YouTube,1,43,,,2025,1
,VSC42X2,,Tier 36,,126120773,,Challenge,,2023-07-27,,Extreme Demon,,,68,,THAL,,"19,500.00",,,High CPS,,vsc42px2 100% verified,1,9,,,2023,1
,j0nahh challenge,,Tier 36,,126120826,,Challenge,,2023-08-03,,Extreme Demon,,,69,,THAL,,"19,500.00",,,High CPS,,(harder than vsc !!!) j0nahh challenge 100% verified,1,10,,,2023,1
,VSC 20p is dead,,Tier 36,,126120766,,Challenge,,2022-09-09,,Extreme Demon,,,70,,THAL,,"19,500.00",,,High CPS,,VSC 20p is dead,1,5,,,2022,1
,vsc infinity,,Tier 36,,78765594,,Challenge,,2022-10-12,,Extreme Demon,,,71,,THAL,,"19,500.00",,,High CPS,,VSC Infinity,1,6,,,2022,1
,VSC red,,Tier 36,,126120613,,Challenge,,2023-12-02,,Extreme Demon,,,72,,THAL,,"19,500.00",,,High CPS,, isy8df6bydfs7&F*D,1,16,,,2023,1
,VSC Out,,Tier 36,,126120756,,Unrated,,2024-09-06,,Extreme Demon,,,73,,THAL,,"19,500.00",,,High CPS,,vsc out !!,1,24,,,2024,1
,VSCgeist,,Tier 36,,90775826,,Unrated,,2024-09-04,,Extreme Demon,,,74,,THAL,,"19,500.00",,,High CPS,,vsc geist !! - YouTube,1,24,,,2024,1
,VSC Madness,,Tier 36,,126120741,,Unrated,,2022-09-11,,Extreme Demon,,,75,,THAL,,"19,500.00",,,High CPS,,VSC Madness,1,6,,,2022,1
,VSC on Track,,Tier 36,,126120734,,Unrated,,2023-04-11,,Extreme Demon,,,76,,THAL,,"19,500.00",,,High CPS,, VSC on Track,1,12,,,2023,1
,VSC Lost Sense Deco,,Tier 36,,82200638,,Challenge,,2025-05-31,,Extreme Demon,,,77,,THAL,,"19,500.00",,,High CPS,,VSC Lost Sense Deco [VERIFIED],1,51,,,2025,1
,VSC,,Tier 36,,60805571,,Challenge,,2021-09-21,,Extreme Demon,,,78,,Challenge,,"19,500.00",,,High CPS,,VSC VERIFIED (Top 1 Challenge) [Hardest Level] | Geometry Dash | Yossarian,1,1,,,2021,1
,VSC layout,,Tier 36,,60811038,,Challenge,,2022-11-10,,Extreme Demon,,,79,,THAL,,"19,450.00",,,High CPS,, duckmoment never clear,1,9,,,2022,1
,VSC nerfed,,Tier 36,,126120596,,Challenge,,2023-08-03,,Extreme Demon,,,80,,THAL,,"19,400.00",,,High CPS,,vsc nerfed 100% verified - YouTube,1,17,,,2023,1
,Deimos (ItsHybrid),,Tier 36,,93091893,,Featured,,2023-08-05,,Extreme Demon,,,81,,Global,,"19,216.06",,,Nerve Control,,(VERIFIED) Deimos by ItsHybrid & more // TOP 15 - YouTube,1,18,,,2023,1
,3SH on Pointercrate,,Tier 36,,96792505,,Challenge,,2025-10-16,,Extreme Demon,,,82,,Challenge,,"19,033.86",,,Consistency,,[TOP 5 CL] 3SH X10 VERIFIED (3sh on Pointercrate) - YouTube,1,66,,,2025,1
,KOCMOC (Zoink),,Tier 36,,87665224,,Epic,,2023-05-12,,Extreme Demon,,,83,,Global,,"18,853.39",,,High CPS,,(VERIFIED!) KOCMOC update 100% by [Cherry]team - YouTube,1,15,,,2023,1
,FINAL FANTASY,,Tier 36,,76767195,,Challenge,,2021-12-22,,Extreme Demon,,,84,,Challenge,,"18,674.63",,,Consistency,,FINAL FANTASY - YouTube,1,3,,,2021,1
